# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1776322935637000000,1776322948041000000,1
writeAction.count,1776322935637000000,1776322948041000000,2
writeAction.wait.ms,1776322935637000000,1776322948041000000,1
writeAction.median.wait.ms,1776322935637000000,1776322948041000000,0
AWTEventQueue.dispatchTimeTotalNS,1776322935637000000,1776322948041000000,1712215604
workspaceModel.entityStorageSnapshotImpl.instances.count,1776322935637000000,1776322948041000000,2
VFS.invertedFileNameIndex.requests,1776322935637000000,1776322948041000000,0
VFS.fileByIdCache.misses,1776322935637000000,1776322948041000000,0
VFS.fileByIdCache.hits,1776322935637000000,1776322948041000000,0
VFS.fileChildByName,1776322935637000000,1776322948041000000,18
cacheStateStorage.get.duration,1776322935637000000,1776322948041000000,0
cacheStateStorage.get.counter,1776322935637000000,1776322948041000000,2
cacheStateStorage.set.duration,1776322935637000000,1776322948041000000,6
cacheStateStorage.set.counter,1776322935637000000,1776322948041000000,1
jps.global.get.libraries.ms,1776322935637000000,1776322948041000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776322935637000000,1776322948041000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776322935637000000,1776322948041000000,0
workspaceModel.sync.entities.ms,1776322935637000000,1776322948041000000,0
workspaceModel.global.updates.count,1776322935637000000,1776322948041000000,0
workspaceModel.global.updates.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1776322935637000000,1776322948041000000,0
jps.app.storage.content.reader.load.component.ms,1776322935637000000,1776322948041000000,2
jps.global.get.library.by.name.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.entities.ms,1776322935637000000,1776322948041000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776322935637000000,1776322948041000000,0
workspaceModel.global.apply.state.to.project.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1776322935637000000,1776322948041000000,0
jps.app.storage.content.writer.save.component.ms,1776322935637000000,1776322948041000000,1
jps.load.initial.state.ms,1776322935637000000,1776322948041000000,17
workspaceModel.save.cache.to.file.ms,1776322935637000000,1776322948041000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1776322935637000000,1776322948041000000,0
jps.global.handle.before.change.events.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.instances.count,1776322935637000000,1776322948041000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1776322935637000000,1776322948041000000,0
jps.library.entities.serializer.save.entities.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776322935637000000,1776322948041000000,0
jps.save.global.entities.ms,1776322935637000000,1776322948041000000,59
jps.global.initialize.library.bridges.ms,1776322935637000000,1776322948041000000,0
workspaceModel.load.cache.metadata.from.file.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776322935637000000,1776322948041000000,0
workspaceModel.load.cache.from.file.ms,1776322935637000000,1776322948041000000,0
jps.library.entities.serializer.load.entities.ms,1776322935637000000,1776322948041000000,0
jps.global.handle.changed.events.ms,1776322935637000000,1776322948041000000,0
jps.global.get.library.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776322935637000000,1776322948041000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1776322935637000000,1776322948041000000,0
FilePageCacheLockFree.nativeBytesInUse,1776322935637000000,1776322948041000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1776322935637000000,1776322948041000000,0
DirectByteBufferAllocator.disposed,1776322935637000000,1776322948041000000,156
FilePageCacheLockFree.housekeeperTurnsSkipped,1776322935637000000,1776322948041000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1776322935637000000,1776322948041000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1776322935637000000,1776322948041000000,0
FilePageCache.totalPageLoadsUs,1776322935637000000,1776322948041000000,117876
FilePageCacheLockFree.totalPagesHandedOver,1776322935637000000,1776322948041000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1776322935637000000,1776322948041000000,0
StorageLockContext.competingThreads.90P,1776322935637000000,1776322948041000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776322935637000000,1776322948041000000,41959424
FilePageCacheLockFree.totalBytesWritten,1776322935637000000,1776322948041000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1776322935637000000,1776322948041000000,0
FilePageCache.maxRegisteredFiles,1776322935637000000,1776322948041000000,542
StorageLockContext.competingThreads.avg,1776322935637000000,1776322948041000000,0.0
StorageLockContext.competingThreads.max,1776322935637000000,1776322948041000000,0
DirectByteBufferAllocator.reclaimed,1776322935637000000,1776322948041000000,47
DirectByteBufferAllocator.hits,1776322935637000000,1776322948041000000,5
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776322935637000000,1776322948041000000,41959424
FilePageCacheLockFree.housekeeperTurnsDone,1776322935637000000,1776322948041000000,0
DirectByteBufferAllocator.misses,1776322935637000000,1776322948041000000,198
FilePageCacheLockFree.totalPageAllocationsWaited,1776322935637000000,1776322948041000000,0
FilePageCache.totalPageDisposalsUs,1776322935637000000,1776322948041000000,10651
FilePageCacheLockFree.totalPagesAllocated,1776322935637000000,1776322948041000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1776322935637000000,1776322948041000000,0
FilePageCache.pageFastCacheHits,1776322935637000000,1776322948041000000,13868
FilePageCacheLockFree.totalNativeBytesAllocated,1776322935637000000,1776322948041000000,0
FilePageCacheLockFree.heapBytesInUse,1776322935637000000,1776322948041000000,0
FilePageCache.uncachedFileAccess,1776322935637000000,1776322948041000000,339
FilePageCacheLockFree.totalPagesReadMs,1776322935637000000,1776322948041000000,0
FilePageCache.disposedBuffers,1776322935637000000,1776322948041000000,203
FilePageCacheLockFree.totalBytesRequested,1776322935637000000,1776322948041000000,0
FilePageCache.maxCacheSizeInBytes,1776322935637000000,1776322948041000000,205537280
FilePageCache.pageHits,1776322935637000000,1776322948041000000,0
FilePageCacheLockFree.totalPagesRequested,1776322935637000000,1776322948041000000,0
